time,open,high,low,close,volume
2025-12-23 06:45:00,4475.925,4481.315,4475.425,4481.215,3629
2025-12-23 07:00:00,4481.185,4482.855,4478.055,4481.475,4119
2025-12-23 07:15:00,4481.545,4485.635,4480.715,4483.835,4123
2025-12-23 07:30:00,4483.795,4486.498,4483.328,4483.698,3759
2025-12-23 07:45:00,4483.675,4489.405,4483.495,4486.375,4752
2025-12-23 08:00:00,4486.345,4489.298,4485.025,4487.875,4255
2025-12-23 08:15:00,4487.855,4490.315,4486.035,4486.945,3614
2025-12-23 08:30:00,4486.925,4492.035,4484.425,4491.735,2586
2025-12-23 08:45:00,4491.765,4492.995,4488.189,4489.575,2977
2025-12-23 09:00:00,4489.545,4490.835,4480.145,4481.165,4022
2025-12-23 09:15:00,4481.125,4484.225,4478.875,4482.935,3622
2025-12-23 09:30:00,4482.915,4484.815,4479.368,4481.495,2521
2025-12-23 09:45:00,4481.525,4482.898,4477.945,4479.945,2907
2025-12-23 10:00:00,4479.995,4484.615,4479.125,4484.355,2819
2025-12-23 10:15:00,4484.395,4487.255,4482.595,4485.535,2727
2025-12-23 10:30:00,4485.535,4485.585,4481.228,4482.375,2488
2025-12-23 10:45:00,4482.405,4485.825,4482.335,4484.005,2979
2025-12-23 11:00:00,4483.985,4486.015,4482.925,4484.255,2262
2025-12-23 11:15:00,4484.255,4485.465,4482.855,4483.625,1771
2025-12-23 11:30:00,4483.695,4488.335,4482.865,4488.235,1556
2025-12-23 11:45:00,4488.205,4494.005,4487.085,4493.325,3638
2025-12-23 12:00:00,4493.265,4493.515,4485.435,4485.595,2637
2025-12-23 12:15:00,4485.645,4485.685,4482.975,4484.935,1783
2025-12-23 12:30:00,4484.965,4487.415,4484.215,4485.835,2460
2025-12-23 12:45:00,4485.875,4489.025,4485.495,4486.175,2584
2025-12-23 13:00:00,4486.025,4494.428,4485.875,4494.158,5569
2025-12-23 13:15:00,4494.665,4497.175,4486.415,4488.635,5440
2025-12-23 13:30:00,4488.635,4492.375,4484.265,4489.585,6164
2025-12-23 13:45:00,4489.525,4490.685,4473.015,4478.915,7150
2025-12-23 14:00:00,4478.915,4479.695,4454.398,4469.225,7219
2025-12-23 14:15:00,4469.435,4471.985,4462.915,4464.695,6196
2025-12-23 14:30:00,4464.735,4464.735,4447.415,4452.535,8987
2025-12-23 14:45:00,4452.685,4459.245,4441.138,4445.485,7887
2025-12-23 15:00:00,4445.455,4450.365,4429.975,4448.295,10317
2025-12-23 15:15:00,4448.375,4451.865,4439.295,4442.385,7435
2025-12-23 15:30:00,4442.385,4456.965,4441.315,4453.065,7149
2025-12-23 15:45:00,4453.095,4459.065,4451.215,4458.148,6089
2025-12-23 16:00:00,4458.185,4463.115,4455.995,4460.385,4911
2025-12-23 16:15:00,4460.445,4465.205,4458.885,4461.285,4868
2025-12-23 16:30:00,4461.285,4466.815,4455.559,4465.648,6548
2025-12-23 16:45:00,4465.648,4476.385,4465.648,4474.055,5905
2025-12-23 17:00:00,4474.045,4479.698,4471.415,4475.185,5945
2025-12-23 17:15:00,4475.225,4478.385,4470.055,4477.435,5836
2025-12-23 17:30:00,4477.895,4479.185,4473.625,4478.355,6712
