entry_time,exit_time,direction,entry_price,sl,sl_pips,tp1,tp2,tp3,tp4,tp5,grade,score,exit_reason,tp_hits,pnl_usd,balance,session,lot_per_order
2026-03-13 19:15:00,2026-03-16 06:15:00,SELL,5034.59,5034.39,200,5014.59,4994.59,4974.59,4954.59,4934.59,A+,31,SL@BE,"1,2",60.6,3740.2,NY,0.01
2026-03-16 10:45:00,2026-03-16 11:15:00,SELL,4998.19,5018.19,200,4978.19,4958.19,4938.19,4918.19,4898.19,A+,31,SL,,-100.0,3640.2,London,0.01
2026-03-16 17:45:00,2026-03-16 18:30:00,SELL,4990.8,5010.8,200,4970.8,4950.8,4930.8,4910.8,4890.8,A+,31,SL,,-100.0,3540.2,NY,0.01
2026-03-17 11:45:00,2026-03-17 12:30:00,SELL,5002.72,5022.72,200,4982.72,4962.72,4942.72,4922.72,4902.72,A+,32,SL,,-100.0,3440.2,London,0.01
2026-03-18 08:30:00,2026-03-18 12:30:00,SELL,4983.88,4983.68,200,4963.88,4943.88,4923.88,4903.88,4883.88,A+,31,TP5,"1,2,3,4,5",300.0,3740.2,London,0.01
2026-03-18 12:45:00,2026-03-18 13:30:00,SELL,4881.01,4880.81,200,4861.01,4841.01,4821.01,4801.01,4781.01,A+,33,SL@BE,"1,2",60.6,3800.8,LN/NY,0.01
2026-03-18 13:45:00,2026-03-18 15:00:00,SELL,4877.57,4877.37,200,4857.57,4837.57,4817.57,4797.57,4777.57,A+,33,SL@BE,1,20.8,3821.6,LN/NY,0.01
2026-03-23 16:30:00,2026-03-23 17:15:00,SELL,4385.55,4405.55,200,4365.55,4345.55,4325.55,4305.55,4285.55,A+,28,SL,,-100.0,3721.6,NY,0.01
2026-03-24 12:30:00,2026-03-24 12:45:00,SELL,4369.09,4389.09,200,4349.09,4329.09,4309.09,4289.09,4269.09,A+,29,SL,,-100.0,3621.6,LN/NY,0.01
2026-03-25 07:30:00,2026-03-25 08:15:00,SELL,4546.05,4566.05,200,4526.05,4506.05,4486.05,4466.05,4446.05,A,24,SL,,-100.0,3521.6,London,0.01
2026-03-25 19:45:00,2026-03-25 22:00:00,SELL,4530.53,4530.33,200,4510.53,4490.53,4470.53,4450.53,4430.53,A,26,SL@BE,1,20.8,3542.4,NY,0.01
2026-03-26 07:00:00,2026-03-26 10:15:00,SELL,4447.34,4447.14,200,4427.34,4407.34,4387.34,4367.34,4347.34,A+,31,SL@BE,1,20.8,3563.2,London,0.01
2026-03-27 10:30:00,2026-03-27 12:30:00,SELL,4415.27,4435.27,200,4395.27,4375.27,4355.27,4335.27,4315.27,A+,36,SL,,-100.0,3463.2,London,0.01
2026-03-31 13:45:00,2026-03-31 14:45:00,BUY,4607.01,4607.21,200,4627.01,4647.01,4667.01,4687.01,4707.01,A+,28,SL@BE,1,20.8,3484.0,LN/NY,0.01
2026-03-31 15:00:00,2026-04-01 01:00:00,BUY,4623.12,4623.32,200,4643.12,4663.12,4683.12,4703.12,4723.12,A+,28,TP5,"1,2,3,4,5",300.0,3784.0,LN/NY,0.01
2026-04-01 08:15:00,2026-04-01 12:15:00,BUY,4730.53,4730.73,200,4750.53,4770.53,4790.53,4810.53,4830.53,A,26,SL@BE,1,20.8,3804.8,London,0.01
2026-04-02 15:15:00,2026-04-02 15:45:00,BUY,4672.35,4652.35,200,4692.35,4712.35,4732.35,4752.35,4772.35,A+,28,SL,,-100.0,3704.8,LN/NY,0.01
2026-04-02 19:00:00,,BUY,4674.48,4654.48,200,4694.48,4714.48,4734.48,4754.48,4774.48,B,22,,,6.63,3711.43,NY,0.01
